number_of_requests 8

slice_request 1 id 1 total_amount_of_UE 2345 min_bandwidth 7.2 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice1.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice1.dat" maxLatencyDataLayer 5.5 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

slice_request 2 id 2 total_amount_of_UE 8545 min_bandwidth 8.3 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice2.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice2.dat" maxLatencyDataLayer 7.1 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

slice_request 3 id 3 total_amount_of_UE 8215 min_bandwidth 6.9 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice3.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice3.dat" maxLatencyDataLayer 9.8 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

slice_request 4 id 4 total_amount_of_UE 6481 min_bandwidth 6.0 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice4.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice4.dat" maxLatencyDataLayer 4.7 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

slice_request 5 id 5 total_amount_of_UE 3611 min_bandwidth 6.7 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice5.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice5.dat" maxLatencyDataLayer 7.2 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

slice_request 6 id 6 total_amount_of_UE 7428 min_bandwidth 8.0 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice6.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice6.dat" maxLatencyDataLayer 9.5 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

slice_request 7 id 7 total_amount_of_UE 1411 min_bandwidth 8.1 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice7.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice7.dat" maxLatencyDataLayer 6.1 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

slice_request 8 id 8 total_amount_of_UE 6790 min_bandwidth 5.5 VNF_types_to_install  "../instances/heuristic/big/instance_2_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_2_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_2_NFS_sharing_slice8.dat" commodities  "../instances/heuristic/big/instance_2_commodities_slice8.dat" maxLatencyDataLayer 6.2 nodeSharing  "../instances/heuristic/big/instance_2_node_sharing.dat"

