number_of_requests 8

slice_request 1 id 1 total_amount_of_UE 1396 min_bandwidth 7.5 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice1.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice1.dat" maxLatencyDataLayer 5.8 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

slice_request 2 id 2 total_amount_of_UE 1564 min_bandwidth 8.1 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice2.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice2.dat" maxLatencyDataLayer 8.2 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

slice_request 3 id 3 total_amount_of_UE 2250 min_bandwidth 8.8 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice3.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice3.dat" maxLatencyDataLayer 6.2 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

slice_request 4 id 4 total_amount_of_UE 2213 min_bandwidth 5.6 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice4.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice4.dat" maxLatencyDataLayer 3.5 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

slice_request 5 id 5 total_amount_of_UE 7478 min_bandwidth 9.9 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice5.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice5.dat" maxLatencyDataLayer 8.8 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

slice_request 6 id 6 total_amount_of_UE 1646 min_bandwidth 8.8 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice6.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice6.dat" maxLatencyDataLayer 5.5 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

slice_request 7 id 7 total_amount_of_UE 4443 min_bandwidth 5.2 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice7.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice7.dat" maxLatencyDataLayer 8.8 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

slice_request 8 id 8 total_amount_of_UE 8417 min_bandwidth 7.9 VNF_types_to_install  "../instances/heuristic/big/instance_4_NFSs_to_install.dat" VNFs_to_connect  "../instances/heuristic/big/instance_4_NFSs_to_connect.dat" VNF_sharing  "../instances/heuristic/big/instance_4_NFS_sharing_slice8.dat" commodities  "../instances/heuristic/big/instance_4_commodities_slice8.dat" maxLatencyDataLayer 7.1 nodeSharing  "../instances/heuristic/big/instance_4_node_sharing.dat"

