number_of_NFSs 12

0.0 2.3 3.8 2.7 3.1 2.1 3.6 3.6 2.7 2.8 3.6 3.1 
2.3 0.0 2.6 2.2 2.7 2.3 3.7 3.1 3.2 3.4 3.6 3.7 
3.8 2.6 0.0 3.5 3.0 2.9 2.4 3.1 3.8 2.5 3.7 3.2 
2.7 2.2 3.5 0.0 2.9 2.2 3.3 2.0 3.1 2.2 2.8 4.0 
3.1 2.7 3.0 2.9 0.0 3.9 2.4 3.7 3.6 2.3 2.6 4.0 
2.1 2.3 2.9 2.2 3.9 0.0 2.0 2.1 2.5 2.6 4.0 2.5 
3.6 3.7 2.4 3.3 2.4 2.0 0.0 2.7 2.4 3.9 2.0 2.3 
3.6 3.1 3.1 2.0 3.7 2.1 2.7 0.0 3.0 3.4 2.9 2.4 
2.7 3.2 3.8 3.1 3.6 2.5 2.4 3.0 0.0 2.1 3.0 2.0 
2.8 3.4 2.5 2.2 2.3 2.6 3.9 3.4 2.1 0.0 2.6 3.6 
3.6 3.6 3.7 2.8 2.6 4.0 2.0 2.9 3.0 2.6 0.0 2.4 
3.1 3.7 3.2 4.0 4.0 2.5 2.3 2.4 2.0 3.6 2.4 0.0 
